I enjoy trying out new activities or hobbies.,I prefer spending time alone over socializing with others.,"I tend to worry about things, even if there's no real reason to.",I feel comfortable in most social situations.,I like to keep a structured schedule and follow routines.,I try to avoid conflict and prefer to keep the peace.,"I enjoy taking on challenges, even if they're difficult.",I am often the life of the party at social gatherings.,I find it easy to get along with people who have different opinions.,I like to try new foods and experience different cultures.
5,2,1,1,4,1,2,4,3,3
3,4,2,3,5,4,1,4,2,3
2,2,5,4,3,4,4,1,4,4
4,3,5,2,2,4,3,5,3,4
4,4,3,4,2,5,4,4,1,3
2,3,3,1,5,1,4,2,5,4
2,5,4,4,3,5,5,5,2,5
3,1,5,4,3,3,5,4,4,3
5,5,2,1,4,1,2,2,3,1
3,4,5,2,3,2,5,5,1,3
2,2,3,2,2,2,2,3,1,1
1,2,3,3,4,5,5,2,5,3
5,5,1,3,5,3,4,2,3,4
1,4,5,2,4,2,4,5,4,3
5,3,3,1,3,4,2,3,2,4
3,5,1,3,4,1,5,3,5,3
5,3,5,5,1,2,4,1,1,4
1,1,1,4,1,5,4,2,5,2
3,3,5,5,5,1,2,2,4,3
5,5,1,1,3,5,5,2,5,1
2,4,4,3,2,5,3,1,3,5
1,4,4,4,5,2,2,4,4,4
1,2,3,1,2,2,5,1,1,3
5,4,3,3,2,5,4,1,3,2
1,3,1,1,5,3,2,1,5,1
2,2,1,1,4,3,5,5,3,1
1,3,5,5,1,2,3,1,4,3
1,1,2,1,3,4,5,4,4,4
5,4,4,5,3,1,2,4,2,3
5,4,2,4,1,2,4,2,4,1
1,2,1,5,2,5,5,1,4,1
4,4,5,2,1,1,5,4,3,1
1,2,3,1,3,5,4,3,5,4
4,2,3,2,1,5,1,2,5,5
5,1,2,4,3,3,1,3,5,4
5,2,1,3,2,2,4,3,5,3
5,3,3,5,4,2,2,5,5,3
4,1,5,2,4,5,1,2,1,3
1,5,2,3,4,4,2,3,3,4
2,3,2,4,3,1,5,5,4,3
1,4,2,4,1,2,2,4,5,5
1,4,1,4,3,1,4,4,3,1
3,1,5,5,1,1,1,5,4,3
3,2,4,3,3,5,2,4,4,1
5,3,5,2,5,4,2,1,1,2
2,5,1,4,4,1,1,5,4,2
1,3,3,4,3,5,3,2,2,1
4,3,3,4,5,2,5,4,4,2
5,2,2,4,2,1,5,5,4,5
5,2,3,1,4,1,5,2,5,4
3,5,2,3,2,2,5,3,4,1
3,4,4,1,2,5,1,1,2,2
2,3,3,2,1,2,3,5,4,5
1,5,2,4,1,5,3,2,1,3
3,3,3,4,2,2,4,5,1,2
5,3,4,1,4,4,3,1,3,2
4,5,4,1,3,2,2,1,1,4
1,5,4,1,2,1,1,2,4,4
1,5,2,2,5,3,3,1,1,4
2,4,5,3,2,1,1,3,2,1
3,2,2,1,5,5,1,1,2,5
2,4,3,5,5,2,2,3,5,2
4,2,4,1,5,5,4,2,1,3
4,3,1,5,4,3,5,3,5,5
1,5,4,3,5,5,4,2,1,5
5,5,4,1,3,5,4,5,2,5
1,2,4,3,4,5,4,3,2,5
5,4,1,2,5,3,4,2,3,4
2,5,4,5,1,4,3,4,1,5
5,4,2,3,4,2,4,5,4,4
3,3,2,1,5,4,5,5,3,1
2,1,5,2,3,5,2,5,3,4
3,5,3,3,5,5,4,3,2,5
4,4,5,1,3,1,3,5,1,2
5,3,4,2,4,2,1,4,5,3
3,3,5,4,4,1,4,3,4,3
1,2,1,5,2,1,5,1,2,4
4,1,3,4,1,5,3,2,2,2
3,2,1,4,1,5,5,2,4,3
5,2,4,4,3,1,4,4,2,5
5,3,5,5,2,1,4,4,4,1
1,3,2,5,3,5,1,4,4,1
4,1,4,3,3,2,3,4,5,1
5,2,5,1,3,5,2,2,1,5
4,3,5,3,1,1,1,4,2,2
3,1,2,2,2,5,2,4,3,1
4,3,3,3,5,2,1,4,5,2
4,4,1,2,4,2,5,3,4,2
2,4,1,4,5,2,5,4,4,4
3,2,3,2,2,4,1,1,1,4
1,1,3,3,2,3,1,1,1,4
2,1,3,3,2,4,3,4,3,5
1,4,4,3,4,1,1,2,4,3
2,5,2,3,1,4,4,1,4,5
1,4,2,1,1,5,5,5,4,5
3,5,2,5,5,3,5,4,2,5
1,3,3,4,5,1,3,3,3,1
4,1,3,2,4,5,2,3,4,2
5,2,2,5,4,1,2,1,3,3
1,1,1,5,3,5,3,4,3,2
5,3,1,2,3,1,3,1,1,5
2,2,1,5,4,2,1,5,1,5
2,2,5,4,2,5,4,4,3,2
1,4,3,1,1,4,1,5,2,1
5,2,2,5,2,1,1,2,5,2
4,1,4,3,4,5,3,3,3,4
5,4,2,1,3,2,4,1,5,1
3,5,3,3,4,2,1,5,5,1
1,2,5,2,5,5,2,5,4,5
1,5,4,1,2,5,2,1,5,4
5,2,5,5,5,4,3,1,2,4
2,4,2,2,5,5,1,4,2,3
1,3,5,5,2,5,4,4,3,5
1,1,2,4,4,1,5,5,3,4
1,2,2,4,1,3,2,5,2,4
1,1,4,3,4,1,5,2,2,2
5,1,4,2,5,3,4,2,1,3
3,1,1,4,1,2,4,1,4,3
4,5,1,5,4,3,5,2,1,1
5,3,3,1,4,4,5,4,4,2
5,1,5,1,1,1,4,2,3,4
5,2,4,3,5,1,3,5,2,1
3,5,4,1,4,4,5,2,4,2
3,3,5,3,3,2,5,3,2,2
3,4,2,1,1,4,4,3,2,3
3,5,4,1,4,5,2,2,4,5
5,1,3,2,3,4,5,4,4,5
1,1,2,5,5,2,3,1,4,4
3,1,4,5,4,1,2,1,3,4
5,5,1,5,4,2,2,3,1,2
1,2,3,3,2,2,4,5,4,4
5,2,2,5,2,1,4,2,3,5
5,3,1,5,5,5,4,5,5,3
4,2,3,3,2,3,2,3,3,3
2,2,2,3,4,3,5,1,5,1
4,5,5,5,3,4,3,1,2,3
5,3,1,5,3,4,5,3,2,2
5,2,1,1,3,3,2,3,1,3
5,4,5,4,4,2,3,4,3,3
5,1,2,2,1,2,3,2,4,2
1,2,2,3,1,4,3,5,5,2
1,1,3,5,5,2,2,4,1,1
2,1,3,5,2,5,4,4,5,4
4,1,5,3,1,5,3,3,1,3
5,3,5,5,5,4,4,1,2,3
3,2,5,3,1,1,1,1,1,4
4,1,4,4,2,5,4,3,4,4
5,5,2,5,3,5,1,2,1,4
5,4,4,3,3,4,2,1,3,2
4,4,5,3,5,3,2,4,2,2
3,3,1,5,3,3,2,4,5,1
3,5,4,4,2,4,2,2,2,4
2,1,4,3,3,5,2,4,5,5
1,2,5,2,4,2,4,2,4,5
4,3,5,4,2,4,1,4,4,2
4,3,1,3,4,1,2,4,2,2
4,2,2,1,1,3,2,2,4,2
2,5,2,5,3,5,1,1,2,3
3,5,2,3,2,4,4,4,2,2
1,5,3,3,3,1,1,2,2,4
5,2,3,2,2,4,4,1,5,4
5,5,3,4,2,1,4,5,2,3
3,2,5,4,5,5,4,4,4,3
4,5,2,5,4,2,1,5,1,5
5,5,1,3,4,2,5,5,3,3
5,5,5,2,1,4,3,4,2,4
5,5,4,4,4,1,1,3,1,2
3,2,3,5,2,1,5,3,2,1
5,5,5,4,3,1,4,4,1,4
2,3,5,4,1,1,5,4,1,4
3,5,2,2,3,3,2,2,5,3
1,1,1,5,3,3,3,5,3,2
3,5,1,2,4,2,2,3,1,4
2,5,1,1,3,3,3,2,3,2
1,2,5,1,4,1,4,4,2,5
5,1,3,2,3,3,2,3,1,5
4,3,2,3,1,5,3,1,4,2
1,2,4,4,1,5,5,1,4,3
5,1,5,3,3,1,5,3,4,4
1,5,4,1,5,2,4,3,3,4
4,4,1,1,1,3,2,1,2,2
2,3,5,1,3,3,1,5,3,2
2,5,3,5,4,5,5,2,5,5
4,5,2,4,5,2,1,2,4,2
5,5,5,3,2,2,2,5,4,1
4,5,5,1,3,4,3,5,3,5
4,1,5,5,5,5,1,5,4,5
3,4,4,2,1,4,4,2,2,4
3,5,5,5,2,4,4,2,1,5
3,1,5,2,5,2,1,4,5,3
4,2,5,3,1,4,2,5,5,2
2,2,2,1,3,2,5,2,5,5
1,1,1,1,3,3,2,5,2,3
2,1,3,5,3,5,2,1,3,1
4,2,1,4,3,3,5,2,1,4
3,5,2,4,3,2,2,5,5,3
4,3,4,2,5,5,3,1,2,4
1,1,3,2,4,5,5,4,5,2
1,3,4,5,5,5,2,2,5,4
4,2,3,3,2,3,4,1,3,5
4,1,4,2,4,3,1,3,1,1
2,2,5,1,4,3,1,2,3,5
2,4,1,2,5,2,2,2,4,2
1,4,2,1,3,3,4,1,3,3
4,2,4,1,4,1,5,4,2,4
3,4,1,5,5,5,5,4,4,4
3,5,3,2,2,1,2,3,2,1
4,2,2,1,2,3,3,5,5,2
5,1,3,4,2,1,3,3,4,3
3,4,3,4,3,4,5,3,1,3
1,4,4,4,2,1,4,5,2,3
1,4,5,1,1,4,3,2,2,3
5,2,1,2,4,4,3,5,1,1
3,3,1,4,5,3,3,5,1,3
5,2,3,3,2,3,4,5,5,5
3,5,4,2,1,5,5,5,2,2
4,5,2,2,1,3,5,1,4,4
2,4,2,2,5,4,1,4,1,1
2,3,2,1,4,5,5,2,3,3
2,5,1,2,3,2,5,1,1,4
1,5,4,1,5,1,3,5,3,1
1,2,5,5,2,4,3,5,5,4
4,4,2,4,2,5,4,2,3,1
2,5,4,2,3,5,2,5,4,2
5,1,1,5,3,3,3,5,2,4
3,5,3,2,4,2,4,1,3,2
3,5,5,2,2,1,3,3,1,5
4,1,4,3,2,2,5,3,2,4
2,2,2,3,2,3,2,5,3,3
2,2,2,2,1,5,4,1,5,2
1,2,2,4,1,2,1,2,3,3
3,3,4,1,4,2,4,4,1,1
1,2,2,4,5,4,4,4,2,3
3,2,2,5,4,5,3,2,2,2
4,5,4,3,1,2,4,1,1,1
3,5,1,5,5,3,1,4,2,4
1,5,1,3,4,2,4,5,1,5
1,3,2,5,2,3,2,2,2,3
2,1,3,3,2,2,3,2,4,2
4,1,2,4,4,1,2,2,1,3
3,5,5,1,3,4,1,5,2,2
3,1,3,1,2,3,4,3,4,4
4,4,1,3,4,2,3,1,4,1
1,4,3,3,4,2,5,4,1,3
5,4,4,5,4,1,3,2,4,5
1,3,1,4,1,3,5,1,3,4
3,2,2,5,2,3,1,4,4,3
3,5,4,5,4,1,5,5,4,3
4,2,5,4,5,2,5,1,4,5
5,1,2,2,3,1,4,1,1,5
3,4,5,5,1,1,1,3,1,5
5,2,3,5,4,4,4,2,1,2
4,1,5,1,5,4,5,5,1,5
3,2,2,4,1,3,4,2,4,3
2,3,5,1,5,2,2,3,4,1
2,2,2,3,2,4,2,4,5,1
5,2,5,4,2,5,2,3,2,5
5,2,5,4,2,5,5,1,4,3
3,4,3,2,1,2,5,5,1,5
5,4,4,5,5,1,4,5,4,2
3,1,2,3,5,2,4,1,2,4
5,1,1,1,4,2,3,4,4,5
3,2,5,5,5,1,4,2,2,5
1,2,4,2,1,1,1,5,1,5
3,1,3,1,3,3,1,5,3,4
2,1,3,5,4,3,3,2,2,3
2,2,2,1,1,3,3,2,1,4
3,2,3,5,5,2,3,2,3,3
1,1,5,4,5,1,4,4,1,4
2,2,3,5,5,4,1,4,4,5
2,4,3,2,3,3,2,4,2,1
3,3,1,3,5,4,4,4,5,2
2,5,2,3,4,3,4,2,5,4
4,1,2,5,2,4,1,3,4,4
1,3,1,1,2,3,4,4,5,2
1,4,5,4,5,4,3,1,1,2
5,1,4,1,4,1,1,1,2,2
2,1,5,1,5,4,1,4,3,1
3,5,1,1,5,3,3,3,1,2
1,1,3,3,1,5,3,3,3,1
3,1,3,5,4,3,4,5,5,2
4,2,4,4,4,5,4,5,5,1
3,4,4,4,3,4,1,1,3,4
2,1,4,4,3,2,3,2,3,3
4,3,3,1,3,4,4,5,2,5
5,3,5,5,4,3,4,4,3,5
5,1,3,5,4,5,2,4,4,1
2,2,3,3,1,3,4,5,3,2
2,4,5,1,5,4,5,5,5,2
2,1,2,3,3,2,1,4,3,2
3,4,2,3,2,2,3,1,1,4
4,4,3,5,3,2,5,5,3,3
2,5,4,2,4,3,1,1,3,2
5,4,1,2,2,5,5,5,1,5
2,5,5,1,3,3,1,2,2,3
5,4,1,1,2,2,1,3,4,2
1,4,2,4,3,5,3,4,4,3
3,3,3,3,4,2,5,1,5,1
4,2,3,5,1,3,3,3,1,4
2,3,1,2,2,2,2,2,2,1
4,4,4,5,3,1,1,2,2,4
3,5,4,4,4,3,3,3,2,4
1,5,1,1,5,4,5,4,1,5
5,5,1,4,1,2,1,4,4,3
1,4,1,2,2,5,1,2,1,4
1,5,5,2,1,5,3,5,4,4
3,4,4,2,1,2,1,4,1,1
1,5,3,4,3,1,5,1,2,1
5,2,3,5,5,2,1,1,5,4
2,3,1,2,2,3,3,1,5,5
4,3,2,1,5,4,1,1,2,2
5,5,3,1,5,4,5,1,4,3
3,1,5,2,5,4,2,5,2,5
3,3,3,1,5,1,3,2,3,2
4,1,2,4,3,2,2,1,5,4
2,5,4,3,2,4,3,2,3,2
1,4,1,4,2,2,3,3,3,2
3,1,2,5,1,1,2,5,2,1
1,5,2,3,3,4,5,4,4,3
4,4,4,3,4,5,4,5,4,4
1,5,1,3,1,4,2,2,3,2
5,4,1,3,1,3,1,4,4,5
5,2,1,2,3,5,4,3,1,5
2,5,2,5,5,1,2,5,3,4
1,2,2,2,4,2,3,3,1,1
5,2,3,2,1,3,2,3,2,2
2,3,2,4,1,5,2,3,3,3
3,2,2,3,5,1,3,1,4,4
3,3,4,3,1,3,4,2,4,1
3,1,1,2,4,3,5,5,2,4
4,2,5,4,4,5,1,4,4,5
3,3,5,4,1,2,2,2,4,4
4,3,1,1,5,1,5,3,4,2
2,4,2,2,4,2,1,4,2,5
5,5,3,5,4,3,4,4,2,5
1,4,3,2,2,5,1,4,4,1
5,1,2,3,3,1,1,3,2,2
1,1,1,1,1,4,1,2,1,3
4,1,2,3,2,3,3,5,5,4
1,3,4,5,3,5,3,3,5,4
4,2,3,4,4,1,4,1,2,2
3,4,3,5,3,5,3,3,2,2
5,2,5,3,2,4,5,3,5,2
4,2,1,1,2,1,2,3,1,2
3,4,2,1,5,3,2,2,2,3
4,1,3,1,4,1,4,5,1,2
3,3,4,1,3,4,4,4,1,2
2,1,1,2,5,1,3,4,3,1
1,1,5,2,5,1,3,3,2,4
3,4,1,4,2,5,5,1,3,2
1,3,5,2,1,5,2,4,1,1
3,3,4,5,3,5,1,4,5,4
3,4,5,5,3,4,4,4,5,1
1,3,5,4,5,2,3,3,4,3
3,5,5,2,4,2,4,3,3,2
4,3,5,4,5,2,5,5,2,3
2,4,4,4,4,2,5,4,4,3
4,1,4,1,1,5,4,2,2,3
2,3,3,5,2,4,2,3,2,4
4,3,2,1,1,2,5,1,1,4
3,2,5,2,2,3,4,2,2,5
4,5,4,5,3,3,5,3,2,3
3,3,2,4,5,1,1,4,3,5
5,5,2,4,1,3,2,4,5,1
1,4,5,3,2,1,5,1,1,1
3,4,3,2,1,3,4,3,3,2
1,5,5,4,4,4,5,1,5,3
1,2,3,4,3,2,1,1,4,1
3,4,1,2,2,1,5,3,2,5
4,3,5,4,5,4,3,4,1,5
1,4,4,4,1,5,2,1,5,5
4,1,2,5,2,1,5,4,5,5
3,3,5,5,4,4,3,2,2,3
4,2,5,5,4,4,4,4,5,4
1,3,2,3,4,1,3,4,1,1
5,1,4,4,3,5,1,2,3,1
3,2,5,2,2,3,4,3,1,2
1,2,3,5,3,5,2,2,4,4
4,3,3,2,3,3,1,2,3,5
4,2,2,4,2,5,2,3,4,1
4,4,2,1,3,5,4,4,2,2
3,2,1,4,1,5,5,4,3,1
1,5,2,3,3,2,4,2,5,1
1,4,5,4,1,4,3,5,1,5
5,1,4,4,4,2,1,2,5,4
5,1,2,1,3,2,4,1,4,2
4,1,2,5,5,1,5,1,5,1
1,4,1,3,4,3,4,5,5,5
2,3,5,1,1,3,3,5,3,3
3,2,3,4,5,5,4,1,3,1
2,5,4,3,1,5,3,2,2,4
4,2,5,3,2,2,3,2,5,3
5,2,5,3,2,5,1,3,3,5
2,1,3,2,2,2,2,1,1,2
2,5,1,2,5,1,4,4,4,2
5,4,5,1,3,1,3,2,5,4
3,3,3,3,1,3,4,4,3,3
1,3,4,1,3,3,5,1,4,5
5,2,5,2,2,1,3,3,3,5
5,2,4,4,2,5,1,3,1,4
1,5,4,1,2,3,1,5,3,5
5,4,1,3,1,3,3,3,2,5
1,5,1,2,5,3,5,1,3,4
5,5,5,3,5,5,1,3,2,5
1,4,4,1,4,1,1,4,5,4
3,5,4,5,1,3,2,5,5,1
2,2,3,3,3,5,4,2,5,4
4,4,4,5,2,3,5,5,1,2
3,1,1,4,2,4,3,1,3,5
4,3,3,2,5,5,5,1,4,2
3,2,5,1,4,2,2,5,2,3
4,4,3,2,2,3,2,2,2,5
2,5,3,1,2,5,1,4,5,4
4,4,3,2,2,1,1,2,5,5
1,2,3,5,2,3,3,1,1,3
4,3,3,2,5,5,4,1,5,3
5,1,3,5,5,1,2,5,2,1
2,4,4,2,1,2,5,1,5,5
5,2,4,5,4,1,2,5,5,1
1,2,3,2,3,3,5,2,5,3
2,2,5,5,5,3,5,3,3,2
2,4,4,2,3,4,3,4,2,3
5,4,4,1,2,2,2,2,3,4
5,4,1,3,3,2,1,3,3,1
5,2,1,2,3,4,5,3,2,1
5,1,3,1,4,3,4,5,2,3
4,5,4,3,1,3,1,5,5,2
2,3,2,2,3,1,1,1,5,3
2,1,2,5,2,3,2,1,3,1
1,3,3,2,1,3,3,4,3,4
5,2,3,5,5,3,4,5,1,2
